Title,Occurence,Date,"Pay and Leave Holiday Date (if SAT, then FRI if SUN  then MON)",Month,Day,Year,WeekDay
Labor Day,First Monday in Sept,9/4/2023,9/4/2023,9,4,2023,2
Columbus Day,Second Monday in Oct,10/9/2023,10/9/2023,10,9,2023,2
Veterans Day,Annual,11/11/2023,11/10/2023,11,11,2023,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2023,11/23/2023,11,23,2023,5
Christmas Day,Annual,12/25/2023,12/25/2023,12,25,2023,2
New Year's Day,Year Start,1/1/2024,1/1/2024,1,1,2024,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2024,1/15/2024,1,15,2024,2
Washington's Birthday,Third Monday in Feb,2/19/2024,2/19/2024,2,19,2024,2
Memorial Day,Last Monday in May,5/27/2024,5/27/2024,5,27,2024,2
Juneteenth National Independence Day,Annual,6/19/2024,6/19/2024,6,19,2024,4
Independence Day,Annual,7/4/2024,7/4/2024,7,4,2024,5
Labor Day,First Monday in Sept,9/2/2024,9/2/2024,9,2,2024,2
Columbus Day,Second Monday in Oct,10/14/2024,10/14/2024,10,14,2024,2
Veterans Day,Annual,11/11/2024,11/11/2024,11,11,2024,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2024,11/28/2024,11,28,2024,5
Christmas Day,Annual,12/25/2024,12/25/2024,12,25,2024,4
New Year's Day,Year Start,1/1/2025,1/1/2025,1,1,2025,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2025,1/20/2025,1,20,2025,2
Washington's Birthday,Third Monday in Feb,2/17/2025,2/17/2025,2,17,2025,2
Memorial Day,Last Monday in May,5/26/2025,5/26/2025,5,26,2025,2
Juneteenth National Independence Day,Annual,6/19/2025,6/19/2025,6,19,2025,5
Independence Day,Annual,7/4/2025,7/4/2025,7,4,2025,6
Labor Day,First Monday in Sept,9/1/2025,9/1/2025,9,1,2025,2
Columbus Day,Second Monday in Oct,10/13/2025,10/13/2025,10,13,2025,2
Veterans Day,Annual,11/11/2025,11/11/2025,11,11,2025,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2025,11/27/2025,11,27,2025,5
Christmas Day,Annual,12/25/2025,12/25/2025,12,25,2025,5
New Year's Day,Year Start,1/1/2026,1/1/2026,1,1,2026,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2026,1/19/2026,1,19,2026,2
Washington's Birthday,Third Monday in Feb,2/16/2026,2/16/2026,2,16,2026,2
Memorial Day,Last Monday in May,5/25/2026,5/25/2026,5,25,2026,2
Juneteenth National Independence Day,Annual,6/19/2026,6/19/2026,6,19,2026,6
Independence Day,Annual,7/4/2026,7/3/2026,7,4,2026,7
Labor Day,First Monday in Sept,9/7/2026,9/7/2026,9,7,2026,2
Columbus Day,Second Monday in Oct,10/12/2026,10/12/2026,10,12,2026,2
Veterans Day,Annual,11/11/2026,11/11/2026,11,11,2026,4
Thanksgiving Day,Fourth Thursday in Nov,11/26/2026,11/26/2026,11,26,2026,5
Christmas Day,Annual,12/25/2026,12/25/2026,12,25,2026,6
New Year's Day,Year Start,1/1/2027,1/1/2027,1,1,2027,6
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/18/2027,1/18/2027,1,18,2027,2
Washington's Birthday,Third Monday in Feb,2/15/2027,2/15/2027,2,15,2027,2
Memorial Day,Last Monday in May,5/24/2027,5/24/2027,5,24,2027,2
Juneteenth National Independence Day,Annual,6/19/2027,6/18/2027,6,19,2027,7
Independence Day,Annual,7/4/2027,7/5/2027,7,4,2027,1
Labor Day,First Monday in Sept,9/6/2027,9/6/2027,9,6,2027,2
Columbus Day,Second Monday in Oct,10/11/2027,10/11/2027,10,11,2027,2
Veterans Day,Annual,11/11/2027,11/11/2027,11,11,2027,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2027,11/25/2027,11,25,2027,5
Christmas Day,Annual,12/25/2027,12/24/2027,12,25,2027,7
New Year's Day,Year Start,1/1/2028,12/31/2027,1,1,2028,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2028,1/17/2028,1,17,2028,2
Washington's Birthday,Third Monday in Feb,2/21/2028,2/21/2028,2,21,2028,2
Memorial Day,Last Monday in May,5/22/2028,5/22/2028,5,22,2028,2
Juneteenth National Independence Day,Annual,6/19/2028,6/19/2028,6,19,2028,2
Independence Day,Annual,7/4/2028,7/4/2028,7,4,2028,3
Labor Day,First Monday in Sept,9/4/2028,9/4/2028,9,4,2028,2
Columbus Day,Second Monday in Oct,10/9/2028,10/9/2028,10,9,2028,2
Veterans Day,Annual,11/11/2028,11/10/2028,11,11,2028,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2028,11/23/2028,11,23,2028,5
Christmas Day,Annual,12/25/2028,12/25/2028,12,25,2028,2
New Year's Day,Year Start,1/1/2029,1/1/2029,1,1,2029,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2029,1/15/2029,1,15,2029,2
Washington's Birthday,Third Monday in Feb,2/19/2029,2/19/2029,2,19,2029,2
Memorial Day,Last Monday in May,5/28/2029,5/28/2029,5,28,2029,2
Juneteenth National Independence Day,Annual,6/19/2029,6/19/2029,6,19,2029,3
Independence Day,Annual,7/4/2029,7/4/2029,7,4,2029,4
Labor Day,First Monday in Sept,9/3/2029,9/3/2029,9,3,2029,2
Columbus Day,Second Monday in Oct,10/8/2029,10/8/2029,10,8,2029,2
Veterans Day,Annual,11/11/2029,11/12/2029,11,11,2029,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2029,11/22/2029,11,22,2029,5
Christmas Day,Annual,12/25/2029,12/25/2029,12,25,2029,3
New Year's Day,Year Start,1/1/2030,1/1/2030,1,1,2030,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2030,1/21/2030,1,21,2030,2
Washington's Birthday,Third Monday in Feb,2/18/2030,2/18/2030,2,18,2030,2
Memorial Day,Last Monday in May,5/27/2030,5/27/2030,5,27,2030,2
Juneteenth National Independence Day,Annual,6/19/2030,6/19/2030,6,19,2030,4
Independence Day,Annual,7/4/2030,7/4/2030,7,4,2030,5
Labor Day,First Monday in Sept,9/2/2030,9/2/2030,9,2,2030,2
Columbus Day,Second Monday in Oct,10/14/2030,10/14/2030,10,14,2030,2
Veterans Day,Annual,11/11/2030,11/11/2030,11,11,2030,2
Thanksgiving Day,Fourth Thursday in Nov,11/28/2030,11/28/2030,11,28,2030,5
Christmas Day,Annual,12/25/2030,12/25/2030,12,25,2030,4
New Year's Day,Year Start,1/1/2031,1/1/2031,1,1,2031,4
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/20/2031,1/20/2031,1,20,2031,2
Washington's Birthday,Third Monday in Feb,2/17/2031,2/17/2031,2,17,2031,2
Memorial Day,Last Monday in May,5/26/2031,5/26/2031,5,26,2031,2
Juneteenth National Independence Day,Annual,6/19/2031,6/19/2031,6,19,2031,5
Independence Day,Annual,7/4/2031,7/4/2031,7,4,2031,6
Labor Day,First Monday in Sept,9/1/2031,9/1/2031,9,1,2031,2
Columbus Day,Second Monday in Oct,10/13/2031,10/13/2031,10,13,2031,2
Veterans Day,Annual,11/11/2031,11/11/2031,11,11,2031,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2031,11/27/2031,11,27,2031,5
Christmas Day,Annual,12/25/2031,12/25/2031,12,25,2031,5
New Year's Day,Year Start,1/1/2032,1/1/2032,1,1,2032,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2032,1/19/2032,1,19,2032,2
Washington's Birthday,Third Monday in Feb,2/16/2032,2/16/2032,2,16,2032,2
Memorial Day,Last Monday in May,5/24/2032,5/24/2032,5,24,2032,2
Juneteenth National Independence Day,Annual,6/19/2032,6/18/2032,6,19,2032,7
Independence Day,Annual,7/4/2032,7/5/2032,7,4,2032,1
Labor Day,First Monday in Sept,9/6/2032,9/6/2032,9,6,2032,2
Columbus Day,Second Monday in Oct,10/11/2032,10/11/2032,10,11,2032,2
Veterans Day,Annual,11/11/2032,11/11/2032,11,11,2032,5
Thanksgiving Day,Fourth Thursday in Nov,11/25/2032,11/25/2032,11,25,2032,5
Christmas Day,Annual,12/25/2032,12/24/2032,12,25,2032,7
New Year's Day,Year Start,1/1/2033,12/31/2032,1,1,2033,7
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/17/2033,1/17/2033,1,17,2033,2
Washington's Birthday,Third Monday in Feb,2/21/2033,2/21/2033,2,21,2033,2
Memorial Day,Last Monday in May,5/23/2033,5/23/2033,5,23,2033,2
Juneteenth National Independence Day,Annual,6/19/2033,6/20/2033,6,19,2033,1
Independence Day,Annual,7/4/2033,7/4/2033,7,4,2033,2
Labor Day,First Monday in Sept,9/5/2033,9/5/2033,9,5,2033,2
Columbus Day,Second Monday in Oct,10/10/2033,10/10/2033,10,10,2033,2
Veterans Day,Annual,11/11/2033,11/11/2033,11,11,2033,6
Thanksgiving Day,Fourth Thursday in Nov,11/24/2033,11/24/2033,11,24,2033,5
Christmas Day,Annual,12/25/2033,12/26/2033,12,25,2033,1
New Year's Day,Year Start,1/1/2034,1/2/2034,1,1,2034,1
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/16/2034,1/16/2034,1,16,2034,2
Washington's Birthday,Third Monday in Feb,2/20/2034,2/20/2034,2,20,2034,2
Memorial Day,Last Monday in May,5/22/2034,5/22/2034,5,22,2034,2
Juneteenth National Independence Day,Annual,6/19/2034,6/19/2034,6,19,2034,2
Independence Day,Annual,7/4/2034,7/4/2034,7,4,2034,3
Labor Day,First Monday in Sept,9/4/2034,9/4/2034,9,4,2034,2
Columbus Day,Second Monday in Oct,10/9/2034,10/9/2034,10,9,2034,2
Veterans Day,Annual,11/11/2034,11/10/2034,11,11,2034,7
Thanksgiving Day,Fourth Thursday in Nov,11/23/2034,11/23/2034,11,23,2034,5
Christmas Day,Annual,12/25/2034,12/25/2034,12,25,2034,2
New Year's Day,Year Start,1/1/2035,1/1/2035,1,1,2035,2
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/15/2035,1/15/2035,1,15,2035,2
Washington's Birthday,Third Monday in Feb,2/19/2035,2/19/2035,2,19,2035,2
Memorial Day,Last Monday in May,5/28/2035,5/28/2035,5,28,2035,2
Juneteenth National Independence Day,Annual,6/19/2035,6/19/2035,6,19,2035,3
Independence Day,Annual,7/4/2035,7/4/2035,7,4,2035,4
Labor Day,First Monday in Sept,9/3/2035,9/3/2035,9,3,2035,2
Columbus Day,Second Monday in Oct,10/8/2035,10/8/2035,10,8,2035,2
Veterans Day,Annual,11/11/2035,11/12/2035,11,11,2035,1
Thanksgiving Day,Fourth Thursday in Nov,11/22/2035,11/22/2035,11,22,2035,5
Christmas Day,Annual,12/25/2035,12/25/2035,12,25,2035,3
New Year's Day,Year Start,1/1/2036,1/1/2036,1,1,2036,3
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/21/2036,1/21/2036,1,21,2036,2
Washington's Birthday,Third Monday in Feb,2/18/2036,2/18/2036,2,18,2036,2
Memorial Day,Last Monday in May,5/26/2036,5/26/2036,5,26,2036,2
Juneteenth National Independence Day,Annual,6/19/2036,6/19/2036,6,19,2036,5
Independence Day,Annual,7/4/2036,7/4/2036,7,4,2036,6
Labor Day,First Monday in Sept,9/1/2036,9/1/2036,9,1,2036,2
Columbus Day,Second Monday in Oct,10/13/2036,10/13/2036,10,13,2036,2
Veterans Day,Annual,11/11/2036,11/11/2036,11,11,2036,3
Thanksgiving Day,Fourth Thursday in Nov,11/27/2036,11/27/2036,11,27,2036,5
Christmas Day,Annual,12/25/2036,12/25/2036,12,25,2036,5
New Year's Day,Year Start,1/1/2037,1/1/2037,1,1,2037,5
"Birthday of Martin Luther King, Jr",Third Monday of Jan,1/19/2037,1/19/2037,1,19,2037,2
Washington's Birthday,Third Monday in Feb,2/16/2037,2/16/2037,2,16,2037,2
Memorial Day,Last Monday in May,5/25/2037,5/25/2037,5,25,2037,2
Juneteenth National Independence Day,Annual,6/19/2037,6/19/2037,6,19,2037,6
